# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CIB2	ENSECAG00000010441	ENSECAT00000010922	protein_coding	1	9	6	429	0	0	0	0	0	0	0	60	0	1	0	316	6	0	0	0	0	1	0	0	0	0	0	8	54
CIB2	ENSECAG00000010441	ENSECAT00000070012	protein_coding	0	7	2	435	0	0	0	0	0	0	0	60	0	0	0	316	2	0	0	0	0	0	0	0	0	0	0	7	59
CIB2	ENSECAG00000010441	ENSECAT00000075847	protein_coding	0	6	2	436	0	0	0	0	0	0	0	60	0	0	0	317	2	0	0	0	0	0	0	0	0	0	0	6	59
CIDEB	ENSECAG00000010495	ENSECAT00000010892	protein_coding	0	36	16	336	0	0	0	0	0	0	0	150	0	0	0	25	16	0	0	0	0	3	0	0	0	0	0	33	164
CILP	ENSECAG00000014515	ENSECAT00000015173	protein_coding	0	39	18	150	0	0	0	0	0	0	0	59	0	0	0	61	18	0	0	0	0	1	0	0	0	0	0	38	31
CISD1	ENSECAG00000008892	ENSECAT00000009066	protein_coding	1	11	9	631	41	1	3	0	0	0	0	99	0	1	0	378	9	0	0	0	0	0	0	0	0	0	0	10	110
CISD1	ENSECAG00000008892	ENSECAT00000073454	protein_coding	1	10	9	574	41	0	0	0	0	0	0	99	0	1	0	293	9	0	0	0	0	0	0	0	0	0	0	10	141
CISD1	ENSECAG00000008892	ENSECAT00000073500	protein_coding	0	9	9	598	0	0	0	0	0	0	0	168	0	0	0	356	9	0	0	0	0	1	0	0	0	0	0	8	75
CISD1	ENSECAG00000008892	ENSECAT00000074114	protein_coding	1	10	9	650	41	0	0	0	0	0	0	99	0	1	0	435	9	0	0	0	0	0	0	0	0	0	0	10	75
CLEC14A	ENSECAG00000004803	ENSECAT00000004667	protein_coding	1	13	17	655	6	0	0	0	0	0	0	68	0	1	0	471	17	0	0	0	0	1	0	0	0	0	0	13	110
CLK3	ENSECAG00000022269	ENSECAT00000024012	protein_coding	4	58	5	555	21	1	4	0	0	0	0	124	0	0	0	335	5	0	0	4	1	6	0	0	0	0	0	52	80
CLK3	ENSECAG00000022269	ENSECAT00000052784	protein_coding	4	44	8	471	1	0	0	0	1	0	0	48	0	0	0	339	7	0	0	4	1	6	0	0	0	0	0	39	92
CLK3	ENSECAG00000022269	ENSECAT00000062880	protein_coding	4	47	7	384	21	0	0	0	1	0	0	124	0	0	0	156	6	0	0	4	1	6	0	0	0	0	0	42	92
CLN6	ENSECAG00000016991	ENSECAT00000018015	protein_coding	4	38	19	354	50	0	0	0	0	0	0	68	0	1	0	117	19	0	0	0	3	0	0	0	0	0	0	38	122
CLPX	ENSECAG00000016127	ENSECAT00000017298	protein_coding	3	55	9	603	0	0	0	0	0	0	0	113	0	0	0	425	9	0	0	0	3	1	0	0	0	0	0	54	69
CLRN3	ENSECAG00000023786	ENSECAT00000025468	protein_coding	1	7	6	374	2	0	0	0	0	0	0	76	0	0	0	209	6	0	0	0	0	0	0	0	1	0	0	7	87
CMA1	ENSECAG00000024380	ENSECAT00000026201	protein_coding	5	12	13	203	0	0	0	0	0	1	0	95	0	4	0	34	12	0	0	1	0	0	0	0	0	0	0	12	75
CMTM5	ENSECAG00000019773	ENSECAT00000020983	protein_coding	1	2	3	182	0	0	0	0	0	0	0	66	0	1	0	30	3	0	0	0	0	1	0	0	0	0	0	1	87
CMTM5	ENSECAG00000019773	ENSECAT00000033324	protein_coding	1	2	3	182	0	0	0	0	0	0	0	66	0	1	0	30	3	0	0	0	0	1	0	0	0	0	0	1	87
CMTM5	ENSECAG00000019773	ENSECAT00000046744	protein_coding	0	2	3	183	0	0	0	0	0	0	0	66	0	0	0	31	3	0	0	0	0	1	0	0	0	0	0	1	87
CMTM5	ENSECAG00000019773	ENSECAT00000077591	protein_coding	0	2	3	183	0	0	0	0	0	0	0	66	0	0	0	31	3	0	0	0	0	1	0	0	0	0	0	1	87
CNNM1	ENSECAG00000000257	ENSECAT00000000251	protein_coding	5	50	17	767	2	0	0	1	1	0	0	51	0	5	0	636	15	0	0	0	0	0	0	0	0	0	0	50	78
CNNM1	ENSECAG00000000257	ENSECAT00000041069	protein_coding	5	52	17	765	2	0	0	1	1	0	0	51	0	5	0	636	15	0	0	0	0	2	0	0	0	0	0	50	78
CNNM1	ENSECAG00000000257	ENSECAT00000062308	protein_coding	5	50	17	767	2	0	0	1	1	0	0	51	0	5	0	636	15	0	0	0	0	0	0	0	0	0	0	50	78
CNNM1	ENSECAG00000000257	ENSECAT00000063727	protein_coding	5	52	17	765	2	0	0	1	1	0	0	51	0	5	0	636	15	0	0	0	0	2	0	0	0	0	0	50	78
CNNM2	ENSECAG00000018159	ENSECAT00000019200	protein_coding	0	33	4	2266	0	0	0	1	0	0	0	96	0	0	0	2104	3	0	0	0	0	1	0	0	0	0	0	32	67
CNNM2	ENSECAG00000018159	ENSECAT00000040189	protein_coding	0	34	5	2086	21	0	0	1	0	0	0	56	0	0	0	1943	4	0	0	0	0	1	0	0	0	0	0	33	67
CNNM2	ENSECAG00000018159	ENSECAT00000048937	protein_coding	0	34	5	2086	21	0	0	1	0	0	0	56	0	0	0	1943	4	0	0	0	0	1	0	0	0	0	0	33	67
COA6	ENSECAG00000007238	ENSECAT00000007231	protein_coding	0	10	5	268	0	0	0	0	0	0	0	53	0	0	0	92	5	0	0	0	0	1	0	0	0	0	0	9	124
COCH	ENSECAG00000021944	ENSECAT00000023540	protein_coding	1	75	18	498	0	0	1	0	0	0	0	103	0	1	0	292	18	0	0	1	0	11	0	0	0	0	0	67	111
COCH	ENSECAG00000021944	ENSECAT00000030275	protein_coding	0	75	18	446	18	0	1	0	0	0	0	133	0	0	0	186	18	0	0	0	0	5	0	0	0	0	0	72	111
COCH	ENSECAG00000021944	ENSECAT00000051659	protein_coding	0	74	18	447	18	0	2	0	0	0	0	133	0	0	0	186	18	0	0	0	0	5	0	0	0	0	0	71	111
COG2	ENSECAG00000010075	ENSECAT00000010848	protein_coding	0	73	32	1043	4	1	12	1	0	0	0	41	0	0	0	868	31	0	0	0	0	9	0	0	0	0	0	63	127
COL13A1	ENSECAG00000018359	ENSECAT00000019794	protein_coding	1	20	13	3087	0	0	0	0	0	0	0	82	0	0	0	2917	13	0	0	0	1	3	0	0	0	0	0	17	92
COL13A1	ENSECAG00000018359	ENSECAT00000019800	protein_coding	1	19	13	3088	0	0	0	0	0	0	0	82	0	0	0	2918	13	0	0	0	1	3	0	0	0	0	0	16	92
COL13A1	ENSECAG00000018359	ENSECAT00000038905	protein_coding	1	20	13	3087	0	0	0	0	0	0	0	82	0	0	0	2917	13	0	0	0	1	3	0	0	0	0	0	17	92
COL13A1	ENSECAG00000018359	ENSECAT00000050366	protein_coding	1	19	13	3088	0	0	0	0	0	0	0	82	0	0	0	2918	13	0	0	0	1	3	0	0	0	0	0	16	92
COL13A1	ENSECAG00000018359	ENSECAT00000050552	protein_coding	1	19	13	3088	0	0	0	0	0	0	0	82	0	0	0	2918	13	0	0	0	1	3	0	0	0	0	0	16	92
COL13A1	ENSECAG00000018359	ENSECAT00000063142	protein_coding	1	20	13	3087	0	0	0	0	0	0	0	82	0	0	0	2917	13	0	0	0	1	3	0	0	0	0	0	17	92
COL17A1	ENSECAG00000007909	ENSECAT00000008760	protein_coding	2	29	16	1120	0	0	1	1	0	1	0	126	0	2	0	910	14	0	0	0	0	5	0	0	0	0	0	26	86
COL17A1	ENSECAG00000007909	ENSECAT00000078292	protein_coding	2	28	17	1078	0	0	1	1	0	1	0	88	0	2	0	905	15	0	0	0	0	4	0	0	0	0	0	26	86
COMMD4	ENSECAG00000014814	ENSECAT00000015570	protein_coding	3	31	6	157	0	0	0	0	0	0	0	35	0	0	0	62	6	0	0	3	1	10	0	0	0	0	0	23	71
COMMD4	ENSECAG00000014814	ENSECAT00000042826	protein_coding	3	31	6	157	0	0	0	0	0	0	0	35	0	0	0	62	6	0	0	3	1	10	0	0	0	0	0	23	71
COMMD4	ENSECAG00000014814	ENSECAT00000061589	protein_coding	3	22	2	170	0	0	0	0	0	0	0	35	0	0	0	74	2	0	0	3	0	9	0	0	0	0	0	15	71
COMMD4	ENSECAG00000014814	ENSECAT00000067069	protein_coding	3	16	2	176	0	0	0	0	0	0	0	35	0	0	0	77	2	0	0	3	0	6	0	0	0	0	0	12	71
COMTD1	ENSECAG00000012473	ENSECAT00000012999	protein_coding	3	45	23	173	11	0	0	0	1	1	0	75	0	3	0	22	21	0	0	2	2	6	0	0	0	0	0	42	71
COPS2	ENSECAG00000024709	ENSECAT00000026695	protein_coding	3	27	3	458	0	0	0	0	0	0	0	141	0	0	0	274	3	0	0	1	3	3	0	0	0	0	0	25	48
COPS2	ENSECAG00000024709	ENSECAT00000032845	protein_coding	3	26	3	459	0	0	0	0	0	0	0	141	0	0	0	275	3	0	0	1	3	3	0	0	0	0	0	24	48
COPS2	ENSECAG00000024709	ENSECAT00000055565	protein_coding	3	27	3	458	0	0	0	0	0	0	0	141	0	0	0	274	3	0	0	1	3	3	0	0	0	0	0	25	48
COPS2	ENSECAG00000024709	ENSECAT00000074660	protein_coding	3	25	3	460	0	0	0	0	0	0	0	141	0	0	0	276	3	0	0	1	3	3	0	0	0	0	0	23	48
CORO2B	ENSECAG00000014020	ENSECAT00000015062	protein_coding	0	17	2	2564	6	0	0	0	0	0	0	78	0	0	0	2366	2	0	0	0	0	4	0	0	0	0	0	14	117
CORO2B	ENSECAG00000014020	ENSECAT00000061961	protein_coding	0	17	1	2565	6	0	0	0	0	0	0	78	0	0	0	2367	1	0	0	0	0	4	0	0	0	0	0	14	117
COX15	ENSECAG00000014039	ENSECAT00000014816	protein_coding	1	39	17	386	82	0	0	0	0	0	0	67	0	1	0	132	17	0	0	0	0	0	0	0	0	0	0	39	105
COX5A	ENSECAG00000000160	ENSECAT00000000149	protein_coding	4	22	3	348	0	0	0	0	0	0	0	141	0	0	0	151	3	0	0	0	4	4	0	0	0	0	0	18	64
COX5A	ENSECAG00000000160	ENSECAT00000070812	protein_coding	3	7	5	441	0	0	0	0	0	0	0	121	0	0	0	260	5	0	0	1	2	5	0	0	0	1	0	5	64
COX5A	ENSECAG00000000160	ENSECAT00000071839	protein_coding	3	16	1	357	0	0	0	0	0	0	0	141	0	0	0	157	1	0	0	0	3	2	0	0	0	0	0	14	64
COX5A	ENSECAG00000000160	ENSECAT00000072506	protein_coding	6	20	10	425	0	0	0	0	0	0	0	122	0	1	0	248	10	0	0	1	5	6	0	0	0	0	0	16	64
CPEB3	ENSECAG00000000077	ENSECAT00000000091	protein_coding	1	13	6	3380	0	0	0	1	0	1	1	97	0	1	0	3192	3	0	0	0	0	0	0	0	0	0	0	13	91
CPEB3	ENSECAG00000000077	ENSECAT00000054110	protein_coding	1	24	6	2452	4	0	0	1	0	1	1	36	0	1	0	2321	3	0	0	0	0	0	0	0	0	0	0	24	91
CPEB3	ENSECAG00000000077	ENSECAT00000075085	protein_coding	1	24	6	1824	34	0	0	1	0	1	1	47	0	1	0	1680	3	0	0	0	0	0	0	0	0	0	0	24	63
CPLX3	ENSECAG00000005775	ENSECAT00000005900	protein_coding	0	2	5	120	0	0	0	1	0	0	0	49	0	0	0	26	4	0	0	0	0	0	0	0	0	0	0	2	45
CPN1	ENSECAG00000024087	ENSECAT00000025993	protein_coding	1	8	8	561	4	0	4	0	0	0	0	114	0	0	0	339	8	0	0	0	1	2	0	0	0	0	0	6	103
CPNE6	ENSECAG00000016307	ENSECAT00000017686	protein_coding	0	8	3	225	1	0	0	0	0	0	0	67	0	0	0	55	3	0	0	0	0	2	0	0	0	0	0	6	104
CPNE6	ENSECAG00000016307	ENSECAT00000032519	protein_coding	0	7	6	179	4	0	0	0	0	0	0	67	0	0	0	25	6	0	0	0	0	0	0	0	0	0	0	7	83
CPXM2	ENSECAG00000024631	ENSECAT00000026609	protein_coding	7	30	8	2089	0	1	10	0	0	0	0	79	0	7	0	1937	8	0	0	0	0	0	0	0	0	0	0	29	63
CRABP1	ENSECAG00000030224	ENSECAT00000036006	protein_coding	1	2	3	101	0	0	0	1	0	0	0	34	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	67
CRABP1	ENSECAG00000030224	ENSECAT00000061355	protein_coding	0	0	0	142	0	0	0	0	0	0	0	35	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	67
CRTAC1	ENSECAG00000007097	ENSECAT00000007808	protein_coding	1	25	9	2694	3	0	0	0	0	0	0	70	0	0	0	2533	9	0	0	0	1	0	0	0	0	0	0	25	89
CRTAC1	ENSECAG00000007097	ENSECAT00000030686	protein_coding	1	25	9	2694	3	0	0	0	0	0	0	70	0	0	0	2533	9	0	0	0	1	0	0	0	0	0	0	25	89
CRTAC1	ENSECAG00000007097	ENSECAT00000071005	protein_coding	1	25	9	2410	3	0	5	0	0	0	0	70	0	0	0	2228	9	0	0	0	1	0	0	0	0	0	0	25	105
CRTAC1	ENSECAG00000007097	ENSECAT00000071893	protein_coding	1	27	14	2880	0	0	0	0	0	0	0	68	0	0	0	2724	14	0	0	0	1	0	0	0	0	0	0	27	89
CRTC3	ENSECAG00000024475	ENSECAT00000026385	protein_coding	5	56	29	1247	0	0	6	0	0	0	0	74	0	3	0	1117	29	0	1	2	0	7	0	0	0	0	0	54	53
CSGALNACT2	ENSECAG00000016078	ENSECAT00000017017	protein_coding	3	80	14	596	0	1	2	0	0	1	0	77	0	2	0	419	13	0	0	0	0	6	0	0	1	0	0	75	102
CSK	ENSECAG00000013581	ENSECAT00000014515	protein_coding	14	81	15	338	0	0	0	1	0	0	1	104	0	5	0	175	14	0	0	9	5	18	0	0	1	0	0	72	79
CSK	ENSECAG00000013581	ENSECAT00000046094	protein_coding	13	77	10	200	0	0	11	1	1	0	1	104	0	4	0	68	9	0	0	9	5	16	0	0	1	0	0	70	35
CSNK1G1	ENSECAG00000006597	ENSECAT00000007224	protein_coding	2	40	6	2863	0	1	13	0	0	0	0	207	0	1	0	2570	6	0	0	0	1	7	0	0	0	0	1	33	79
CSNK1G1	ENSECAG00000006597	ENSECAT00000007226	protein_coding	2	38	6	2865	0	1	13	0	0	0	0	207	0	1	0	2572	6	0	0	0	1	7	0	0	0	0	1	31	79
CSNK1G1	ENSECAG00000006597	ENSECAT00000052717	protein_coding	3	39	8	3010	0	1	13	0	0	0	0	131	0	1	0	2795	8	0	0	0	2	8	0	0	0	0	0	32	79
CSNK1G1	ENSECAG00000006597	ENSECAT00000053740	protein_coding	2	35	7	2630	0	1	13	0	0	0	1	82	0	1	0	2461	6	0	0	0	1	5	0	0	0	0	0	30	79
CSNK1G1	ENSECAG00000006597	ENSECAT00000065537	protein_coding	3	39	7	2632	0	1	13	0	0	0	0	62	0	2	0	2483	7	0	0	0	1	5	0	0	0	0	0	34	79
CSNK1G1	ENSECAG00000006597	ENSECAT00000069315	protein_coding	2	31	13	2628	0	1	13	0	0	0	1	78	0	1	0	2463	12	0	0	0	1	5	0	0	0	0	0	26	79
CSNK1G1	ENSECAG00000006597	ENSECAT00000072516	protein_coding	2	31	7	2054	8	1	13	0	0	0	0	87	0	1	0	1821	7	0	0	0	1	5	0	0	0	0	0	26	130
CSNK1G1	ENSECAG00000006597	ENSECAT00000075556	protein_coding	3	37	7	2634	0	1	13	0	0	0	0	62	0	2	0	2485	7	0	0	0	1	5	0	0	0	0	0	32	79
CSPG4	ENSECAG00000010692	ENSECAT00000011131	protein_coding	11	161	113	541	0	0	0	1	2	0	0	83	0	9	0	390	110	0	0	0	0	3	0	0	3	0	0	158	71
CSTF2T	ENSECAG00000004701	ENSECAT00000004575	protein_coding	7	83	32	129	0	0	0	1	0	1	1	57	0	6	0	3	29	0	0	0	1	0	0	0	0	0	0	83	70
CTBP2	ENSECAG00000022504	ENSECAT00000024259	protein_coding	5	95	57	914	25	0	0	0	0	0	0	144	0	3	0	659	57	0	0	0	0	5	0	0	2	0	0	90	91
CTBP2	ENSECAG00000022504	ENSECAT00000060371	protein_coding	5	82	30	2961	4	3	25	0	0	0	0	179	0	1	0	2640	30	0	0	0	0	3	0	0	4	0	0	76	116
CTDSPL2	ENSECAG00000011865	ENSECAT00000012708	protein_coding	8	43	10	955	31	0	0	0	0	0	0	141	0	3	0	740	10	0	0	5	1	7	0	0	1	0	0	38	53
CTDSPL2	ENSECAG00000011865	ENSECAT00000071223	protein_coding	4	33	8	971	31	0	0	0	0	0	0	141	0	1	0	753	8	0	0	3	1	6	0	0	1	0	0	29	53
CTNNA3	ENSECAG00000008248	ENSECAT00000008337	protein_coding	0	15	7	28744	0	0	3	0	0	0	0	71	0	0	0	28533	7	0	0	0	0	4	0	0	0	0	0	12	140
CTSG	ENSECAG00000040710	ENSECAT00000069309	protein_coding	26	36	91	1561	15	0	0	0	2	2	2	589	0	19	0	249	85	0	0	1	1	10	0	0	4	1	0	32	714
CTXND1	ENSECAG00000042735	ENSECAT00000066401	protein_coding	0	2	0	120	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	56
CUEDC2	ENSECAG00000018237	ENSECAT00000019449	protein_coding	12	37	15	200	20	0	0	0	0	2	0	99	0	6	0	26	14	0	0	5	6	11	0	0	0	0	0	36	65
CUTC	ENSECAG00000006891	ENSECAT00000007184	protein_coding	1	23	6	625	7	0	1	0	0	0	0	49	0	0	0	527	6	0	0	1	0	5	0	0	0	0	0	18	45
CUZD1	ENSECAG00000014944	ENSECAT00000015678	protein_coding	1	21	17	373	0	0	0	0	0	0	0	101	0	1	0	190	17	0	0	0	0	3	0	0	1	0	0	18	85
CWF19L1	ENSECAG00000016333	ENSECAT00000017471	protein_coding	4	51	19	598	7	0	0	0	0	0	0	92	0	1	0	376	19	0	0	1	3	5	0	0	0	0	1	48	129
CWF19L1	ENSECAG00000016333	ENSECAT00000041517	protein_coding	4	49	16	592	7	0	0	0	0	0	0	107	0	1	0	355	16	0	0	0	3	4	0	0	0	0	0	46	129
CWF19L1	ENSECAG00000016333	ENSECAT00000053498	protein_coding	4	47	17	604	7	0	0	0	0	0	0	92	0	1	0	381	17	0	0	1	3	3	0	0	0	0	1	45	129
CWF19L1	ENSECAG00000016333	ENSECAT00000066451	protein_coding	3	49	15	599	1	0	0	0	0	0	0	108	0	0	0	367	15	0	0	0	3	4	0	0	0	0	0	46	129
CXCL12	ENSECAG00000019551	ENSECAT00000020765	protein_coding	1	3	1	259	0	0	0	0	0	0	0	50	0	0	0	139	1	0	0	0	0	2	0	0	1	0	0	3	70
CXCL12	ENSECAG00000019551	ENSECAT00000069670	protein_coding	1	3	1	225	0	0	0	0	0	0	0	43	0	0	0	112	1	0	0	0	0	2	0	0	1	0	0	3	70
CYFIP1	ENSECAG00000012143	ENSECAT00000013562	protein_coding	10	109	23	1277	0	0	0	0	0	0	0	143	0	5	0	1044	23	0	0	3	2	10	0	0	2	0	0	102	101
CYFIP1	ENSECAG00000012143	ENSECAT00000033259	protein_coding	10	108	23	1278	0	0	0	0	0	0	0	143	0	5	0	1045	23	0	0	3	2	9	0	0	2	0	0	101	101
CYFIP1	ENSECAG00000012143	ENSECAT00000035530	protein_coding	3	20	2	579	0	0	0	0	0	0	0	84	0	3	0	395	2	0	0	1	1	1	0	0	0	0	0	20	101
CYFIP1	ENSECAG00000012143	ENSECAT00000055242	protein_coding	7	68	21	894	0	0	0	0	0	0	0	58	0	4	0	739	21	0	0	1	2	4	0	0	2	0	0	66	101
CYFIP1	ENSECAG00000012143	ENSECAT00000056200	protein_coding	10	107	22	1280	0	0	0	0	0	0	0	143	0	5	0	1047	22	0	0	3	2	9	0	0	2	0	0	100	101
CYP11A1	ENSECAG00000017494	ENSECAT00000018951	protein_coding	0	4	5	313	0	0	0	0	0	0	0	101	0	0	0	151	5	0	0	0	0	3	0	0	0	0	0	2	63
CYP17A1	ENSECAG00000010022	ENSECAT00000011028	protein_coding	1	9	1	268	0	0	0	0	0	0	0	60	0	1	0	31	1	0	0	0	0	1	0	0	0	0	0	8	178
CYP17A1	ENSECAG00000010022	ENSECAT00000065796	protein_coding	1	9	1	1006	0	0	0	0	0	0	0	58	0	1	0	895	1	0	0	0	0	1	0	0	0	0	0	8	54
CYP17A1	ENSECAG00000010022	ENSECAT00000067378	protein_coding	1	7	0	271	0	0	0	0	0	0	0	60	0	1	0	34	0	0	0	0	0	1	0	0	0	0	0	6	178
CYP17A1	ENSECAG00000010022	ENSECAT00000070162	protein_coding	0	4	1	274	0	0	0	0	0	0	0	60	0	0	0	37	1	0	0	0	0	1	0	0	0	0	0	3	178
CYP17A1	ENSECAG00000010022	ENSECAT00000073871	protein_coding	1	8	1	269	0	0	0	0	0	0	0	60	0	1	0	32	1	0	0	0	0	1	0	0	0	0	0	7	178
CYP19A1	ENSECAG00000020474	ENSECAT00000022758	protein_coding	5	13	14	1124	13	0	3	0	0	0	0	61	0	4	0	967	14	0	0	1	0	3	0	0	0	0	0	10	84
CYP19A1	ENSECAG00000020474	ENSECAT00000070733	protein_coding	5	15	14	791	13	0	0	0	0	0	0	61	0	4	0	659	14	0	0	1	0	3	0	0	0	0	0	12	62
CYP19A1	ENSECAG00000020474	ENSECAT00000072236	protein_coding	0	3	3	1200	0	0	2	0	0	0	0	63	0	0	0	1090	3	0	0	0	0	1	0	0	0	0	0	2	46
CYP19A1	ENSECAG00000020474	ENSECAT00000073422	protein_coding	6	17	16	1442	13	0	0	0	0	0	0	61	0	4	0	1324	16	0	0	1	0	5	0	0	1	0	0	12	50
CYP19A1	ENSECAG00000020474	ENSECAT00000076153	protein_coding	5	15	16	1175	13	0	0	0	0	0	0	61	0	4	0	1058	16	0	0	1	0	3	0	0	0	0	0	12	47
CYP19A1	ENSECAG00000020474	ENSECAT00000076267	protein_coding	6	17	17	1441	13	0	0	0	0	0	0	61	0	4	0	1323	17	0	0	1	0	5	0	0	1	0	0	12	50
CYP1A1	ENSECAG00000013817	ENSECAT00000015233	protein_coding	0	15	14	118	7	2	2	0	0	0	0	46	0	0	0	9	14	0	0	0	0	2	0	0	0	0	0	11	56
CYP1A1	ENSECAG00000013817	ENSECAT00000074774	protein_coding	0	14	13	116	0	2	2	0	0	0	0	49	0	0	0	10	13	0	0	0	0	1	0	0	0	0	0	11	56
CYP1A2	ENSECAG00000008153	ENSECAT00000009040	protein_coding	0	26	23	299	0	0	0	0	1	1	0	87	0	0	0	56	21	0	0	0	0	2	0	0	0	0	0	24	158
CYP1A2	ENSECAG00000008153	ENSECAT00000068827	protein_coding	0	26	23	299	0	0	0	0	1	1	0	87	0	0	0	56	21	0	0	0	0	2	0	0	0	0	0	24	158
CYP26A1	ENSECAG00000022244	ENSECAT00000023903	protein_coding	2	27	7	209	0	0	3	0	0	0	0	72	0	1	0	33	7	0	0	0	0	0	0	0	1	0	0	27	101
CYP26C1	ENSECAG00000023734	ENSECAT00000025432	protein_coding	0	20	6	231	0	0	0	0	0	0	0	93	0	0	0	92	6	0	0	0	0	2	0	0	0	0	0	18	48
CYP2C107	ENSECAG00000036067	ENSECAT00000000289	protein_coding	1	1	10	624	0	0	0	0	0	0	0	36	0	1	0	528	10	0	0	0	0	0	0	0	0	0	0	1	60
CYP2C108	ENSECAG00000032037	ENSECAT00000034639	protein_coding	1	3	7	370	0	0	0	0	0	0	0	31	0	1	0	308	7	0	0	0	0	1	0	0	0	0	0	2	32
CYP2C110	ENSECAG00000036814	ENSECAT00000057850	protein_coding	5	10	12	655	0	0	0	1	0	0	0	61	0	4	0	500	11	0	0	1	0	4	0	0	0	0	0	6	99
CYP2C111	ENSECAG00000028267	ENSECAT00000011503	protein_coding	0	2	14	543	0	0	0	0	0	0	0	69	0	0	0	412	14	0	0	0	0	0	0	0	0	0	0	2	62
CYP2C111	ENSECAG00000028267	ENSECAT00000042728	protein_coding	0	2	13	1279	0	0	1	0	0	0	0	67	0	0	0	1149	13	0	0	0	0	0	0	0	0	0	0	2	62
CYP2C111	ENSECAG00000028267	ENSECAT00000046948	protein_coding	0	5	10	560	0	0	0	0	0	0	0	67	0	0	0	422	10	0	0	0	0	1	0	0	0	0	0	4	72
CYP2C111	ENSECAG00000028267	ENSECAT00000074205	protein_coding	0	3	14	1277	0	0	1	0	0	0	0	67	0	0	0	1147	14	0	0	0	0	0	0	0	0	0	0	3	62
CYP2C113	ENSECAG00000039250	ENSECAT00000030600	protein_coding	0	5	8	927	21	0	0	0	0	0	0	81	0	0	0	753	8	0	0	0	0	1	0	0	0	0	0	4	73
CYP2C114	ENSECAG00000030406	ENSECAT00000039626	protein_coding	0	5	12	602	0	0	0	1	0	0	0	57	0	0	0	440	11	0	0	0	0	2	0	0	0	0	0	4	106
CYP2C114	ENSECAG00000030406	ENSECAT00000072042	protein_coding	0	5	12	602	0	0	0	1	0	0	0	57	0	0	0	440	11	0	0	0	0	2	0	0	0	0	0	4	106
CYP2C23	ENSECAG00000024865	ENSECAT00000026878	protein_coding	0	8	7	469	0	0	6	0	0	0	0	59	0	0	0	339	7	0	0	0	0	1	0	0	0	0	0	8	65
CYP2C23	ENSECAG00000024865	ENSECAT00000051665	protein_coding	0	3	11	470	1	0	6	0	0	0	0	59	0	0	0	339	11	0	0	0	0	1	0	0	0	0	0	3	65
CYP2C92	ENSECAG00000038251	ENSECAT00000002042	protein_coding	2	6	5	717	1	0	0	0	0	0	0	82	0	0	0	512	5	0	0	0	1	0	0	0	1	0	0	6	123
CYP2C92	ENSECAG00000038251	ENSECAT00000005523	protein_coding	2	4	18	591	0	0	0	0	0	0	0	56	0	0	0	471	18	0	0	0	1	1	0	0	1	0	0	4	65
CYP2C92	ENSECAG00000038251	ENSECAT00000038833	protein_coding	2	5	3	715	1	0	0	0	0	0	0	82	0	0	0	512	3	0	0	0	1	0	0	0	1	0	0	5	121
CYP2C92	ENSECAG00000038251	ENSECAT00000041279	protein_coding	2	3	3	2115	2	0	0	0	0	0	0	56	0	0	0	1982	3	0	0	0	1	0	0	0	1	0	0	3	76
CYP2C92	ENSECAG00000038251	ENSECAT00000050151	protein_coding	2	3	3	1932	0	0	0	0	0	0	0	101	0	0	0	1756	3	0	0	0	1	0	0	0	1	0	0	3	76
CYP2C92	ENSECAG00000038251	ENSECAT00000066189	protein_coding	2	3	18	3224	0	0	0	0	0	0	0	56	0	0	0	3093	18	0	0	0	1	1	0	0	1	0	0	3	76
CYP2E1	ENSECAG00000019088	ENSECAT00000020809	protein_coding	2	21	6	279	2	2	6	0	0	1	0	108	0	2	1	118	5	0	0	0	0	0	0	0	0	0	0	18	45
CYP2E1	ENSECAG00000019088	ENSECAT00000067088	protein_coding	2	21	6	279	2	2	6	0	0	1	0	108	0	2	1	118	5	0	0	0	0	0	0	0	0	0	0	18	45
DAD1	ENSECAG00000000577	ENSECAT00000000457	protein_coding	5	18	7	314	3	0	0	0	0	0	0	65	0	5	0	163	7	0	0	0	0	0	0	0	0	0	0	18	83
